opcode,symbol,reader,family,builder_affordance,raw_compose_mapping,mapping_fidelity,proposed_stage,status,source
155,TEXT_MEASURE,TextMeasure,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
156,TEXT_LENGTH,TextLength,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
157,TOUCH_EXPRESSION,TouchExpression,Animation and touch expressions,Animate property; drag value; spring/impulse response,animate*AsState/Animatable/updateTransition; pointerInput; spring/decay helpers,Equivalent goals; timing/physics parity separate,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
158,PATH_TWEEN,PathTween,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
159,PATH_CREATE,PathCreate,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
160,PATH_ADD,PathAppend,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
161,PARTICLE_DEFINE,ParticlesCreate,Particles,Advanced particle effect,Canvas plus bounded particle simulation helper,Algorithm/helper; not a standard Compose component,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
162,PARTICLE_PROCESS,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
163,PARTICLE_LOOP,ParticlesLoop,Particles,Advanced particle effect,Canvas plus bounded particle simulation helper,Algorithm/helper; not a standard Compose component,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
164,IMPULSE_START,ImpulseOperation,Animation and touch expressions,Animate property; drag value; spring/impulse response,animate*AsState/Animatable/updateTransition; pointerInput; spring/decay helpers,Equivalent goals; timing/physics parity separate,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
165,IMPULSE_PROCESS,ImpulseProcess,Animation and touch expressions,Animate property; drag value; spring/impulse response,animate*AsState/Animatable/updateTransition; pointerInput; spring/decay helpers,Equivalent goals; timing/physics parity separate,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
166,FUNCTION_CALL,FloatFunctionCall,Numeric functions,Advanced reusable formula,Pure Kotlin numeric function,Not a composable; explicit numeric inputs/output,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
167,DATA_BITMAP_FONT,BitmapFontData,Images and fonts,Image/font resources; image node; bitmap font advanced,ImageBitmap; String; FontFamily; Image; custom bitmap-font renderer,Direct resources; bitmap fonts need helper,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
168,FUNCTION_DEFINE,FloatFunctionDefine,Numeric functions,Advanced reusable formula,Pure Kotlin numeric function,Not a composable; explicit numeric inputs/output,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
169,DATA_SOUND,SoundData,Sound,Advanced sound resource/effect,Host audio service; no raw Compose UI equivalent,Target-specific host effect,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
170,ATTRIBUTE_TEXT,TextAttribute,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
171,ATTRIBUTE_IMAGE,ImageAttribute,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
172,ATTRIBUTE_TIME,TimeAttribute,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
173,CANVAS_OPERATIONS,CanvasOperations,Containers and structure,Implicit structural containers; Canvas layer,Composition tree / scopes; Canvas DrawScope,Compiler structure,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
174,MODIFIER_DRAW_CONTENT,DrawContentOperation,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
175,PATH_COMBINE,PathCombine,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
176,LAYOUT_FIT_BOX,FitBoxLayout,Adaptive layout,Fit content; overflow priority; wrapping row/column,BoxWithConstraints or custom Layout/SubcomposeLayout; FlowRow/FlowColumn,Equivalent with sizing/overflow policy; not LazyRow,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
177,HAPTIC_FEEDBACK,HapticFeedback,Host effects,Call app action; haptic; refresh timer,Typed callbacks; LocalHapticFeedback; host scheduler/coroutine,Host contract required; mock preview host is not prod integration,First slice for callbacks; later effects,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
178,CONDITIONAL_OPERATIONS,ConditionalOperations,Control flow,Repeat canvas commands; conditional draw/action block,repeat/for loops; if within DrawScope or action,Direct bounded execution; distinct from lazy item repetition,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
179,DEBUG_MESSAGE,DebugMessage,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
180,ATTRIBUTE_COLOR,ColorAttribute,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
181,MATRIX_FROM_PATH,MatrixFromPath,Matrix algebra,Advanced transform/path-following expression,Matrix and pure vector math; PathMeasure/tangent helpers,Helper; different matrix dimensions/conventions need conversion,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
182,TEXT_SUBTEXT,TextSubtext,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
183,BITMAP_TEXT_MEASURE,BitmapTextMeasure,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
184,DRAW_BITMAP_TEXT_ANCHORED,DrawBitmapTextAnchored,Text drawing,Canvas text; text on path; bitmap text,TextMeasurer/drawText; path text/bitmap glyph layout helper or nativeCanvas,Ordinary text direct; path/bitmap text helper and platform checks,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
185,REM,Rem,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
186,MATRIX_CONSTANT,MatrixConstant,Matrix algebra,Advanced transform/path-following expression,Matrix and pure vector math; PathMeasure/tangent helpers,Helper; different matrix dimensions/conventions need conversion,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
187,MATRIX_EXPRESSION,MatrixExpression,Matrix algebra,Advanced transform/path-following expression,Matrix and pure vector math; PathMeasure/tangent helpers,Helper; different matrix dimensions/conventions need conversion,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
188,MATRIX_VECTOR_MATH,MatrixVectorMath,Matrix algebra,Advanced transform/path-following expression,Matrix and pure vector math; PathMeasure/tangent helpers,Helper; different matrix dimensions/conventions need conversion,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
189,DATA_FONT,FontData,Images and fonts,Image/font resources; image node; bitmap font advanced,ImageBitmap; String; FontFamily; Image; custom bitmap-font renderer,Direct resources; bitmap fonts need helper,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
190,DRAW_TO_BITMAP,DrawToBitmap,Bitmap drawing,Image drawing; crop; offscreen layer,DrawScope.drawImage; graphics layer/ImageBitmap render target,Equivalent; offscreen support platform dependent,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
191,WAKE_IN,WakeIn,Host effects,Call app action; haptic; refresh timer,Typed callbacks; LocalHapticFeedback; host scheduler/coroutine,Host contract required; mock preview host is not prod integration,First slice for callbacks; later effects,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
192,ID_LOOKUP,IdLookup,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
193,PATH_EXPRESSION,PathExpression,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
194,PARTICLE_COMPARE,ParticlesCompare,Particles,Advanced particle effect,Canvas plus bounded particle simulation helper,Algorithm/helper; not a standard Compose component,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
195,UPDATE,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
196,COLOR_THEME,ColorTheme,Scalar state,Typed values; Local/Host/Theme data sources,remember mutableStateOf; hoisted typed parameters/State; MaterialTheme,Direct values; explicit ownership and host binding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
197,DYNAMIC_FLOAT_LIST,DataDynamicListFloat,Collections,Lists; records; editable numeric series,List/Map and state-aware immutable replacement or snapshot lists,Equivalent; IDs become typed data; stable item identity,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
198,UPDATE_DYNAMIC_FLOAT_LIST,UpdateDynamicFloatList,Collections,Lists; records; editable numeric series,List/Map and state-aware immutable replacement or snapshot lists,Equivalent; IDs become typed data; stable item identity,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
199,TEXT_TRANSFORM,TextTransform,Text layout,Text; typography; rich text; transform,Text/BasicText; TextStyle/AnnotatedString; explicit string transformation,Equivalent; shaping/autosize/overflow differences tested,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
200,LAYOUT_ROOT,RootLayoutComponent,Containers and structure,Implicit structural containers; Canvas layer,Composition tree / scopes; Canvas DrawScope,Compiler structure,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
201,LAYOUT_CONTENT,LayoutComponentContent,Containers and structure,Implicit structural containers; Canvas layer,Composition tree / scopes; Canvas DrawScope,Compiler structure,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
202,LAYOUT_BOX,BoxLayout,Basic layout,Box; Row; Column,Box; Row; Column with matching alignment/arrangement,Direct semantic mapping,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
203,LAYOUT_ROW,RowLayout,Basic layout,Box; Row; Column,Box; Row; Column with matching alignment/arrangement,Direct semantic mapping,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
204,LAYOUT_COLUMN,ColumnLayout,Basic layout,Box; Row; Column,Box; Row; Column with matching alignment/arrangement,Direct semantic mapping,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
205,LAYOUT_CANVAS,CanvasLayout,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
206,SOUND_EXPRESSION,SoundExpression,Sound,Advanced sound resource/effect,Host audio service; no raw Compose UI equivalent,Target-specific host effect,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
207,LAYOUT_CANVAS_CONTENT,CanvasContent,Containers and structure,Implicit structural containers; Canvas layer,Composition tree / scopes; Canvas DrawScope,Compiler structure,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
208,LAYOUT_TEXT,TextLayout,Text layout,Text; typography; rich text; transform,Text/BasicText; TextStyle/AnnotatedString; explicit string transformation,Equivalent; shaping/autosize/overflow differences tested,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
209,HOST_ACTION,HostActionOperation,Host effects,Call app action; haptic; refresh timer,Typed callbacks; LocalHapticFeedback; host scheduler/coroutine,Host contract required; mock preview host is not prod integration,First slice for callbacks; later effects,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
210,HOST_NAMED_ACTION,HostNamedActionOperation,Host effects,Call app action; haptic; refresh timer,Typed callbacks; LocalHapticFeedback; host scheduler/coroutine,Host contract required; mock preview host is not prod integration,First slice for callbacks; later effects,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
211,MODIFIER_VISIBILITY,ComponentVisibilityOperation,State selection,State switch; Show when; preserve-space visibility option,when/if; wrapper Modifier; later AnimatedContent and retention policy,Direct selection; transition/lifetime parity separate,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
212,VALUE_INTEGER_CHANGE_ACTION,ValueIntegerChangeActionOperation,State actions,Set/toggle/increment; ordered action sequence; invoke action,State assignment; callback; execute actions in order,Direct semantic sequence; no implicit transaction promise,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
213,VALUE_STRING_CHANGE_ACTION,ValueStringChangeActionOperation,State actions,Set/toggle/increment; ordered action sequence; invoke action,State assignment; callback; execute actions in order,Direct semantic sequence; no implicit transaction promise,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
214,CONTAINER_END,ContainerEnd,Containers and structure,Implicit structural containers; Canvas layer,Composition tree / scopes; Canvas DrawScope,Compiler structure,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
215,LOOP_START,LoopOperation,Control flow,Repeat canvas commands; conditional draw/action block,repeat/for loops; if within DrawScope or action,Direct bounded execution; distinct from lazy item repetition,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
216,HOST_METADATA_ACTION,HostActionMetadataOperation,Host effects,Call app action; haptic; refresh timer,Typed callbacks; LocalHapticFeedback; host scheduler/coroutine,Host contract required; mock preview host is not prod integration,First slice for callbacks; later effects,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
217,LAYOUT_STATE,StateLayout,State selection,State switch; Show when; preserve-space visibility option,when/if; wrapper Modifier; later AnimatedContent and retention policy,Direct selection; transition/lifetime parity separate,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
218,VALUE_INTEGER_EXPRESSION_CHANGE_ACTION,ValueIntegerExpressionChangeActionOperation,State actions,Set/toggle/increment; ordered action sequence; invoke action,State assignment; callback; execute actions in order,Direct semantic sequence; no implicit transaction promise,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
219,MODIFIER_TOUCH_DOWN,TouchDownModifierOperation,Input events,On click/double click/long click/press/release/cancel,clickable/combinedClickable/pointerInput; semantics and hit regions,Equivalent; ordered typed event handling,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
220,MODIFIER_TOUCH_UP,TouchUpModifierOperation,Input events,On click/double click/long click/press/release/cancel,clickable/combinedClickable/pointerInput; semantics and hit regions,Equivalent; ordered typed event handling,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
221,MODIFIER_OFFSET,OffsetModifierOperation,Position and transform,Spacing; position; order; transform; baseline alignment,padding/offset/zIndex/graphicsLayer/alignBy,Direct subject to parent scope and transform units,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
222,VALUE_FLOAT_CHANGE_ACTION,ValueFloatChangeActionOperation,State actions,Set/toggle/increment; ordered action sequence; invoke action,State assignment; callback; execute actions in order,Direct semantic sequence; no implicit transaction promise,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
223,MODIFIER_ZINDEX,ZIndexModifierOperation,Position and transform,Spacing; position; order; transform; baseline alignment,padding/offset/zIndex/graphicsLayer/alignBy,Direct subject to parent scope and transform units,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
224,MODIFIER_GRAPHICS_LAYER,GraphicsLayerModifierOperation,Position and transform,Spacing; position; order; transform; baseline alignment,padding/offset/zIndex/graphicsLayer/alignBy,Direct subject to parent scope and transform units,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
225,MODIFIER_TOUCH_CANCEL,TouchCancelModifierOperation,Input events,On click/double click/long click/press/release/cancel,clickable/combinedClickable/pointerInput; semantics and hit regions,Equivalent; ordered typed event handling,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
226,MODIFIER_SCROLL,ScrollModifierOperation,Scroll and effects,Scroll; marquee; touch indication,horizontalScroll/verticalScroll; basicMarquee; indication/ripple,Equivalent; gesture/physics policy,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
227,VALUE_FLOAT_EXPRESSION_CHANGE_ACTION,ValueFloatExpressionChangeActionOperation,State actions,Set/toggle/increment; ordered action sequence; invoke action,State assignment; callback; execute actions in order,Direct semantic sequence; no implicit transaction promise,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
